"Token Address","Token Name","Token Creator","Platform","Buy Amount BNB","Sell Amount BNB","Token Amount","Buy Price BNB","Buy Price USD","Sell Price BNB","Sell Price USD","Max Price Reached BNB","Max Price Reached USD","Profit/Loss BNB","Profit/Loss USD","Price Change %","Max Price Change %","Time to Max Price (seconds)","Buy Time","Sell Time","Max Price Time","Buy Tx Hash","Sell Tx Hash","User ID","Wallet Address"
"0x014cb5f283ae48a8af2384dc39be609f15aa4444","Unknown","Unknown","four.meme","0.00100000","","99765.86","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-09-25T11:01:47.730Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x014cb5f283ae48a8af2384dc39be609f15aa4444","Unknown","Unknown","four.meme","0.00100000","","99765.86","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-09-25T11:01:47.731Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x014cb5f283ae48a8af2384dc39be609f15aa4444","Unknown","Unknown","","","","","","","","","0.00000001","0.0000","","","","5.16","3","","","2025-09-25T11:01:51.008Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x179dca2f5e68f50beebb1b9f2912b890edcc4444","Unknown","Unknown","four.meme","0.00100000","","43104.85","0.00000002","0.0000","","","0.00000002","0.0000","","","0.00","0.00","","2025-09-25T11:04:25.509Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x179dca2f5e68f50beebb1b9f2912b890edcc4444","Unknown","Unknown","four.meme","0.00100000","","43104.85","0.00000002","0.0000","","","0.00000002","0.0000","","","0.00","0.00","","2025-09-25T11:04:25.510Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x179dca2f5e68f50beebb1b9f2912b890edcc4444","Unknown","Unknown","four.meme","0.00100000","","43104.85","0.00000002","0.0000","","","0.00000002","0.0000","","","0.00","0.00","","2025-09-25T11:04:26.010Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xc64dd458016302156323e724e94187b22a614444","Unknown","Unknown","four.meme","0.00100000","","44398.28","0.00000002","0.0000","","","0.00000002","0.0000","","","0.00","0.00","","2025-09-25T23:03:59.607Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xc64dd458016302156323e724e94187b22a614444","Unknown","Unknown","four.meme","0.00100000","","44398.28","0.00000002","0.0000","","","0.00000002","0.0000","","","0.00","0.00","","2025-09-25T23:03:59.607Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xc64dd458016302156323e724e94187b22a614444","Unknown","Unknown","","","","","","","","","0.00000002","0.0000","","","","0.80","3","","","2025-09-25T23:04:02.870Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0xc64dd458016302156323e724e94187b22a614444","Unknown","Unknown","","","","","","","","","0.00000002","0.0000","","","","5.73","10","","","2025-09-25T23:04:09.368Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0xc64dd458016302156323e724e94187b22a614444","Unknown","Unknown","","","","","","","","","0.00000002","0.0000","","","","7.39","20","","","2025-09-25T23:04:19.384Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0xd3631b697adec489407a6adcf13fac978e9c4444","Unknown","Unknown","four.meme","0.00100000","","94966.09","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-09-25T23:04:23.621Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xd3631b697adec489407a6adcf13fac978e9c4444","Unknown","Unknown","four.meme","0.00100000","","94966.09","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-09-25T23:04:23.621Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xd3631b697adec489407a6adcf13fac978e9c4444","Unknown","Unknown","","","","","","","","","0.00000001","0.0000","","","","0.47","4","","","2025-09-25T23:04:27.134Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
